,index,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
2162,2908,599000,2,2,1235 Richmond St 1603,N6G 2V4,London,43.0147,-81.3049,1
2163,2909,479900,2,2,128 Barrie St 102,K7L 3H7,Kingston,44.2955,-76.428,1
2164,2911,2999900,6,5,11469 Guelph Line,L0P 1B0,Halton,43.4906,-79.9998,3
2165,2912,3199999,7,5,208 Strathearn Ave,L6T 4N2,Brampton,43.7196,-79.6854,3
2166,2913,955000,4,3,1424 Shankel Rd,L1K 2J6,Oshawa,43.9251,-78.8287,1
2167,2915,3500000,5,5,107 Robinson St,K9H 1E8,Peterborough,44.3245,-78.3184,0
2168,2916,2298800,3,2,254 Lakeland Cres,L4E 3B5,Richmond Hill ,43.9394,-79.4349,2
2169,2919,1899000,6,5,652 Rougemount Dr,L1W 3Z6,Pickering,43.8197,-79.0803,0
2170,2921,469999,1,1,652 Princess St 326,K7L 1E5,Kingston,44.2955,-76.428,1
2171,2922,740000,2,1,171 East Liberty St 2312,M6K 3P8,Toronto,43.6383,-79.4301,2
2172,2924,829900,2,2,99 The Donway 326,M3B 3K8,Don Mills ,43.745,-79.359,3
2173,2925,1500000,6,4,238 Ridge Rd,M4N 1A5,Toronto,43.7301,-79.3935,0
2174,2926,5690000,3,1,5285 Trafalgar Rd,L6H 7B8,Oakville,43.4881,-79.7098,1
2175,2927,3488000,5,8,111 Hillview Rd,L2S 1S9,St. Catharines ,43.1447,-79.2634,0
2176,2928,2590000,3,2,5 Whitelock Cres,M2K 1W4,North York ,43.7797,-79.3813,1
2177,2929,989000,6,2,8 Virgilwood Dr,M2R 2C1,Willowdale,43.7786,-79.445,2
2178,2930,1599000,3,3,49 Grantbrook St,M2N 2J2,Willowdale,43.7673,-79.4111,2
2179,2931,849900,3,2,10 Bloorview Pl 319,M2J 5A3,North York ,43.7801,-79.3479,1
2180,2932,899000,9,4,512 Caron Ave,N9A 5K9,Windsor,42.2007,-83.0276,0
2181,2933,1599900,3,1,1438 Cawthra Rd,L5G 4G8,Mississauga,43.5647,-79.5852,1
2182,2934,1580000,4,3,4760 Victor Dr,N8S 4S5,Windsor,42.3283,-82.9472,2
2183,2937,4875000,4,5,340 Millwood Pkwy,L4H 0X1,Woodbridge,43.8432,-79.5644,0
2184,2938,5500000,9,3,1169 Concession Rd 4,L0N 1P0,Dufferin County,44.0317,-80.2068,3
2185,2939,2948000,6,5,479 Kingston Rd,L1V 6K4,Pickering,43.8605,-79.1618,0
2186,2940,3658800,5,6,158 Hollywood Ave,M2N 3R7,Willowdale,43.7673,-79.4111,0
2187,2941,6950000,6,8,32 Suncrest Dr,M3C 2K9,Don Mills ,43.7334,-79.3329,3
2188,2942,865000,2,2,111 St Clair Ave 1118,L8M 1K2,Hamilton,43.2441,-79.8359,1
2189,2943,698000,2,1,36 Forest Manor Rd 1007,M2J 1M4,North York ,43.7801,-79.3479,1
2190,2945,1398000,3,2,507425 Highway 89,L9V 2W1,Orangeville,43.9597,-80.1079,1
2191,2946,999998,5,3,287 Verdun Rd,L1H 5J8,Oshawa,43.9721,-78.8837,1
2192,2947,749000,4,2,32 Lloyd St,L8L 3A9,Hamilton,43.2783,-79.8344,1
2193,2949,1399900,5,2,86 Gainsborough Rd,M4L 3B2,Toronto,43.6693,-79.3155,2
2194,2950,2899900,9,4,86 Gainsborough Rd,M4L 3B2,Toronto,43.6693,-79.3155,0
