,Unnamed: 0,City,Year,Month,Sold,List_price_avg,Sold_price_avg,above_below,monthly_change,monthly_change_per,days_on_mar
201,201,brampton,2015,March,879,369051.0,365875.0,-0.86,7625.0,2.12,13
202,202,brampton,2015,February,603,361587.0,358250.0,-0.92,6000.0,1.7,16
203,203,brampton,2015,January,455,356650.0,352250.0,-1.23,2961.0,-0.83,20
204,204,brampton,2014,December,405,363700.0,355211.0,-2.33,7211.0,2.07,27
205,205,brampton,2014,November,574,354924.0,348000.0,-1.95,2500.0,-0.71,21
206,206,brampton,2014,October,711,356562.0,350500.0,-1.7,1437.0,-0.4,21
207,207,brampton,2014,September,680,361048.0,351937.0,-2.52,1313.0,-0.37,19
208,208,brampton,2014,August,792,355950.0,353250.0,-0.75,1250.0,0.35,18
209,209,brampton,2014,July,905,359375.0,352000.0,-2.05,4000.0,-1.12,19
210,210,brampton,2014,June,957,360537.0,356000.0,-1.25,10500.0,3.03,18
211,211,brampton,2014,May,1054,353675.0,345500.0,-2.31,875.0,0.25,21
212,212,brampton,2014,April,964,351387.0,344625.0,-1.92,10650.0,3.18,15
213,213,brampton,2014,March,776,338425.0,333975.0,-1.31,8675.0,-2.53,17
214,214,brampton,2014,February,522,349350.0,342650.0,-1.91,12275.0,3.71,20
215,215,brampton,2014,January,321,336150.0,330375.0,-1.71,6875.0,-2.03,26
216,216,brampton,2013,December,331,345050.0,337250.0,-2.26,8500.0,2.58,27
217,217,brampton,2013,November,583,338425.0,328750.0,-2.85,8313.0,2.59,27
218,218,brampton,2013,October,537,327563.0,320437.0,-2.17,5438.0,-1.66,23
219,219,brampton,2013,September,682,333912.0,325875.0,-2.4,2125.0,-0.64,24
220,220,brampton,2013,August,750,334900.0,328000.0,-2.06,7500.0,2.34,25
221,221,brampton,2013,July,791,327837.0,320500.0,-2.23,4125.0,-1.27,25
222,222,brampton,2013,June,856,332347.0,324625.0,-2.32,4975.0,-1.5,22
223,223,brampton,2013,May,931,337425.0,329600.0,-2.31,3488.0,1.06,20
224,224,brampton,2013,April,878,332787.0,326112.0,-2.0,5050.0,1.57,19
225,225,brampton,2013,March,787,326787.0,321062.0,-1.75,287.0,0.08,23
226,226,brampton,2013,February,516,325412.0,320775.0,-1.42,4038.0,1.27,21
227,227,brampton,2013,January,443,322994.0,316737.0,-1.93,11050.0,3.61,28
228,228,brampton,2012,December,356,316850.0,305687.0,-3.52,5813.0,-1.86,30
229,229,brampton,2012,November,484,318600.0,311500.0,-2.22,1000.0,-0.32,28
230,230,brampton,2012,October,575,319012.0,312500.0,-2.04,7225.0,-2.25,23
231,231,brampton,2012,September,525,326437.0,319725.0,-2.05,7363.0,2.35,21
232,232,brampton,2012,August,647,318625.0,312362.0,-1.96,2513.0,-0.79,22
233,233,brampton,2012,July,768,320950.0,314875.0,-1.89,0.0,0.0,19
234,234,brampton,2012,June,921,320112.0,314875.0,-1.63,4000.0,-1.25,19
235,235,brampton,2012,May,992,324900.0,318875.0,-1.85,4050.0,1.28,18
236,236,brampton,2012,April,999,320712.0,314825.0,-1.83,3263.0,1.04,15
237,237,brampton,2012,March,868,317812.0,311562.0,-1.96,5000.0,1.63,17
238,238,brampton,2012,February,653,310341.0,306562.0,-1.21,3187.0,1.05,16
239,239,brampton,2012,January,510,310575.0,303375.0,-2.31,303375.0,0.0,26
240,240,caledon,2021,December,63,856075.0,891987.0,4.19,177013.0,-16.55,8
241,241,caledon,2021,November,80,996975.0,1069000.0,7.22,215250.0,25.21,5
242,242,caledon,2021,October,101,793461.0,853750.0,7.59,86250.0,-9.17,4
243,243,caledon,2021,September,106,907111.0,940000.0,3.62,142000.0,17.79,3
244,244,caledon,2021,August,108,776037.0,798000.0,2.83,259875.0,-24.56,12
245,245,caledon,2021,July,100,1044562.0,1057875.0,1.27,292875.0,38.28,14
246,246,caledon,2021,June,129,761925.0,765000.0,0.4,288725.0,-27.4,7
247,247,caledon,2021,May,141,1023562.0,1053725.0,2.94,120975.0,12.96,12
248,248,caledon,2021,April,151,901975.0,932750.0,3.41,120000.0,-11.39,9
249,249,caledon,2021,March,175,1016174.0,1052750.0,3.59,42881.0,-3.91,25
250,250,caledon,2021,February,132,1030875.0,1095631.0,6.28,530631.0,93.91,9
251,251,caledon,2021,January,70,532000.0,565000.0,6.2,7750.0,1.39,2
252,252,caledon,2020,December,69,553249.0,557250.0,0.72,82750.0,-12.92,4
253,253,caledon,2020,November,127,636975.0,640000.0,0.47,253750.0,-28.39,12
254,254,caledon,2020,October,153,898197.0,893750.0,-0.49,84386.0,10.42,13
255,255,caledon,2020,September,144,812451.0,809364.0,-0.37,79761.0,-8.97,14
256,256,caledon,2020,August,161,891675.0,889125.0,-0.28,256125.0,40.46,14
257,257,caledon,2020,July,178,630587.0,633000.0,0.38,65487.0,-9.37,9
258,258,caledon,2020,June,124,706337.0,698487.0,-1.11,249112.0,55.43,9
259,259,caledon,2020,May,60,457237.0,449375.0,-1.71,117875.0,-20.78,12
260,260,caledon,2020,April,24,572349.0,567250.0,-0.89,291625.0,-33.95,18
261,261,caledon,2020,March,68,862975.0,858875.0,-0.47,290625.0,51.14,9
262,262,caledon,2020,February,75,579584.0,568250.0,-1.95,140000.0,32.69,9
263,263,caledon,2020,January,50,424900.0,428250.0,0.78,7563.0,1.79,5
264,264,caledon,2019,December,46,432250.0,420687.0,-2.67,204913.0,-32.75,13
265,265,caledon,2019,November,65,632962.0,625600.0,-1.16,61725.0,10.94,33
266,266,caledon,2019,October,84,567724.0,563875.0,-0.67,147875.0,35.54,15
267,267,caledon,2019,September,70,419725.0,416000.0,-0.88,121875.0,-22.65,6
268,268,caledon,2019,August,98,545950.0,537875.0,-1.47,184312.0,-25.52,13
269,269,caledon,2019,July,100,729824.0,722187.0,-1.04,106355.0,-12.83,22
270,270,caledon,2019,June,106,864200.0,828542.0,-4.12,414980.0,100.34,34
271,271,caledon,2019,May,95,419000.0,413562.0,-1.29,194563.0,-31.99,9
272,272,caledon,2019,April,99,623087.0,608125.0,-2.4,81875.0,-11.86,8
273,273,caledon,2019,March,75,693687.0,690000.0,-0.53,275125.0,66.31,14
274,274,caledon,2019,February,43,415876.0,414875.0,-0.24,39375.0,10.48,14
275,275,caledon,2019,January,40,387175.0,375500.0,-3.01,173475.0,-31.59,15
276,276,caledon,2018,December,43,548061.0,548975.0,0.16,9150.0,-1.63,18
277,277,caledon,2018,November,54,570349.0,558125.0,-2.14,144375.0,34.89,21
278,278,caledon,2018,October,79,426098.0,413750.0,-2.89,119375.0,-22.39,12
279,279,caledon,2018,September,79,545810.0,533125.0,-2.32,150125.0,39.19,11
280,280,caledon,2018,August,65,388087.0,383000.0,-1.31,268250.0,-41.19,10
281,281,caledon,2018,July,62,666850.0,651250.0,-2.33,14375.0,-2.15,34
282,282,caledon,2018,June,82,679225.0,665625.0,-2.0,265125.0,66.19,35
283,283,caledon,2018,May,102,404950.0,400500.0,-1.09,293175.0,-42.26,8
284,284,caledon,2018,April,87,712575.0,693675.0,-2.65,50800.0,7.9,17
285,285,caledon,2018,March,73,655337.0,642875.0,-1.9,132625.0,25.99,25
286,286,caledon,2018,February,55,519672.0,510250.0,-1.81,40000.0,-7.26,9
287,287,caledon,2018,January,47,568450.0,550250.0,-3.2,166251.0,43.29,18
288,288,caledon,2017,December,42,384212.0,383999.0,-0.05,105813.0,-21.6,9
289,289,caledon,2017,November,80,497437.0,489812.0,-1.53,116125.0,31.07,13
290,290,caledon,2017,October,63,395999.0,373687.0,-5.63,3813.0,-1.01,9
291,291,caledon,2017,September,44,384500.0,377500.0,-1.82,15000.0,4.13,9
292,292,caledon,2017,August,31,370599.0,362500.0,-2.18,28725.0,-7.34,13
293,293,caledon,2017,July,51,398462.0,391225.0,-1.81,202900.0,-34.15,11
294,294,caledon,2017,June,73,560337.0,594125.0,6.02,171000.0,40.41,9
295,295,caledon,2017,May,110,410962.0,423125.0,2.95,351987.0,-45.41,3
296,296,caledon,2017,April,116,736837.0,775112.0,5.19,115920.0,-13.0,13
297,297,caledon,2017,March,115,795587.0,891032.0,11.99,78595.0,9.67,4
298,298,caledon,2017,February,61,788662.0,812437.0,3.01,171812.0,26.81,6
299,299,caledon,2017,January,38,634337.0,640625.0,0.99,106871.0,20.02,35
300,300,caledon,2016,December,51,534210.0,533754.0,-0.08,2223.0,0.41,19
301,301,caledon,2016,November,78,523100.0,531531.0,1.61,46906.0,-8.1,6
302,302,caledon,2016,October,79,547625.0,578437.0,5.62,5687.0,0.99,5
303,303,caledon,2016,September,72,569200.0,572750.0,0.62,56813.0,11.01,20
304,304,caledon,2016,August,98,504037.0,515937.0,2.36,74425.0,-12.6,9
305,305,caledon,2016,July,91,587750.0,590362.0,0.44,14638.0,-2.41,22
306,306,caledon,2016,June,154,597850.0,605000.0,1.19,54374.0,9.87,19
307,307,caledon,2016,May,120,554937.0,550626.0,-0.77,236626.0,75.35,17
308,308,caledon,2016,April,128,315975.0,314000.0,-0.62,219062.0,-41.09,3
309,309,caledon,2016,March,93,531687.0,533062.0,0.25,51237.0,10.63,12
310,310,caledon,2016,February,78,481712.0,481825.0,0.02,78088.0,19.34,29
311,311,caledon,2016,January,40,412337.0,403737.0,-2.08,103138.0,-20.34,19
312,312,caledon,2015,December,52,520945.0,506875.0,-2.7,125025.0,32.74,36
313,313,caledon,2015,November,62,388337.0,381850.0,-1.67,3852.0,1.01,19
314,314,caledon,2015,October,83,383700.0,377998.0,-1.48,61977.0,-14.08,20
315,315,caledon,2015,September,90,441575.0,439975.0,-0.36,49475.0,12.66,16
316,316,caledon,2015,August,81,397334.0,390500.0,-1.71,19000.0,-4.63,17
317,317,caledon,2015,July,90,414823.0,409500.0,-1.28,2062.0,-0.5,47
318,318,caledon,2015,June,120,418475.0,411562.0,-1.65,10938.0,-2.58,19
319,319,caledon,2015,May,129,429100.0,422500.0,-1.53,123625.0,-22.63,9
320,320,caledon,2015,April,126,553700.0,546125.0,-1.36,152500.0,38.74,17
321,321,caledon,2015,March,67,395737.0,393625.0,-0.53,78687.0,-16.65,8
322,322,caledon,2015,February,69,476925.0,472312.0,-0.96,206825.0,77.9,35
323,323,caledon,2015,January,43,273700.0,265487.0,-3.0,16675.0,6.7,9
324,324,caledon,2014,December,32,254237.0,248812.0,-2.13,221188.0,-47.06,18
325,325,caledon,2014,November,69,479900.0,470000.0,-2.06,78313.0,19.99,31
326,326,caledon,2014,October,68,393650.0,391687.0,-0.49,134187.0,52.11,15
327,327,caledon,2014,September,78,262200.0,257500.0,-1.79,252862.0,-49.54,8
328,328,caledon,2014,August,96,519450.0,510362.0,-1.74,40638.0,-7.37,42
329,329,caledon,2014,July,119,560062.0,551000.0,-1.61,30125.0,5.78,44
330,330,caledon,2014,June,113,532237.0,520875.0,-2.13,186500.0,55.77,39
331,331,caledon,2014,May,90,341175.0,334375.0,-1.99,128125.0,-27.7,11
332,332,caledon,2014,April,103,469275.0,462500.0,-1.44,40000.0,9.46,26
333,333,caledon,2014,March,67,429925.0,422500.0,-1.72,69250.0,19.6,22
