,Price,Beds,Baths,Postal_Code,City,Latitude,Longitude,Cluster
2381,1150000,3,3,M3C 1J3,Don Mills ,43.7334,-79.3329,2
2382,1100000,2,2,L8L 2Z3,Hamilton,43.2783,-79.8344,3
2384,1599900,5,2,L9W 2Y9,Orangeville,43.9702,-80.016,0
2385,899900,4,4,L8J 0B6,Hamilton,43.1836,-79.721,2
2386,2999000,4,4,L6L 4G2,Oakville,43.4032,-79.7186,2
2387,2300000,8,3,M6P,Toronto,43.6605,-79.4633,2
2388,1288000,4,2,M3N 2N6,North York ,43.7568,-79.521,1
2389,2999000,5,4,K9J 6X8,Peterborough,44.3104,-78.2396,3
2390,999900,5,4,L4M 2Z7,Barrie,44.4001,-79.6663,1
2391,950000,3,4,L4M 3M9,Barrie,44.4001,-79.6663,1
2392,2200000,4,3,M5T 1X4,Toronto,43.6541,-79.3978,3
2393,3099900,4,3,L4E 5B9,Richmond Hill ,43.9394,-79.4349,3
2394,1948800,3,3,L3Y 3T3,Newmarket,44.0565,-79.4555,2
2395,2877777,4,5,N3R 5E3,Brant,43.1692,-80.2684,0
2396,1798000,4,4,L4C 8T3,Richmond Hill ,43.8669,-79.4414,3
2397,1079000,3,3,M1V 4P1,Scarborough,43.8177,-79.2819,0
2399,1998000,1,4,M4S 1N2,Toronto,43.702,-79.3853,2
2400,8998800,6,7,M5P 1B1,Toronto,43.6966,-79.412,2
2401,3995000,7,7,M5P 1A2,Toronto,43.6966,-79.412,1
2402,1860000,5,2,M2R 1K1,Willowdale,43.7786,-79.445,2
2403,4388000,4,4,N6C 2Y5,London,42.9582,-81.238,0
