,NOC_CNP,NOC_Title,Titre_CNP,PROV,ER_Code_Code_RE,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Data_Source_E,Data_Source_F,Reference_Period,Revision_Date_Date_revision,Wage_Comment_E,Wage_Comment_F
469,NOC_3121,Optometrists,Optométristes,ON,ER3515,Kingston--Pembroke,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
470,NOC_3121,Optometrists,Optométristes,ON,ER3520,Muskoka--Kawarthas,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
471,NOC_3121,Optometrists,Optométristes,ON,ER3530,Toronto,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
472,NOC_3121,Optometrists,Optométristes,ON,ER3540,Kitchener--Waterloo--Barrie,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
473,NOC_3121,Optometrists,Optométristes,ON,ER3550,Hamilton--Niagara Peninsula,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
474,NOC_3121,Optometrists,Optométristes,ON,ER3560,London,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
475,NOC_3121,Optometrists,Optométristes,ON,ER3570,Windsor--Sarnia,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
476,NOC_3121,Optometrists,Optométristes,ON,ER3580,Stratford--Bruce Peninsula,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
477,NOC_3121,Optometrists,Optométristes,ON,ER3590,Northeast,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
478,NOC_3121,Optometrists,Optométristes,ON,ER3595,Northwest,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
553,NOC_3122,Chiropractors,Chiropraticiens/chiropraticiennes,ON,ER35,Ontario,30296.0,58987.0,116267.0,2016 Census,Recensement 2016,2016,11/17/2021,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
554,NOC_3122,Chiropractors,Chiropraticiens/chiropraticiennes,ON,ER3510,Ottawa,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
555,NOC_3122,Chiropractors,Chiropraticiens/chiropraticiennes,ON,ER3515,Kingston--Pembroke,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
556,NOC_3122,Chiropractors,Chiropraticiens/chiropraticiennes,ON,ER3520,Muskoka--Kawarthas,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
