,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
1572,549000,1,1,70 Alexander St 411,M4Y 1X7,Toronto,43.6656,-79.383,3
1574,699900,3,2,55 Armstrong Ave,M6H 3M8,Toronto,43.6655,-79.4378,2
1575,1499000,5,4,417 Woodbine Ave,N2R 0A4,Kitchener,43.3849,-80.487,1
1576,899900,5,5,136 Tuliptree Rd,L2V 4Y6,St. Catharines ,43.1142,-79.2035,1
1578,1149900,4,4,168 Dumfries Ave,L6V 4K2,Brampton,43.7059,-79.7626,2
1579,1879900,5,3,389 Marf Ave,L5G 1T1,Mississauga,43.5647,-79.5852,3
1580,1998000,3,4,2 Glengordon Cres,L6C 1P8,Markham,43.9045,-79.3392,2
1581,1499888,5,5,899 Black Cherry Dr,L1K 0C8,Oshawa,43.9251,-78.8287,2
1583,799000,3,1,251 Jarvis St 616,M5B 2L1,Toronto,43.6572,-79.3783,1
1584,899999,4,4,3 Reeves Rd,L7L 1N3,Burlington,43.3799,-79.7668,2
1586,899000,4,3,211 Ridley Cres,L3S 3P7,Markham,43.8486,-79.2617,2
1588,1650000,4,4,4631 Harbottle Rd Rd,L7M 0N6,Burlington,43.4342,-79.8701,2
1589,899000,4,3,24 Stanwell Dr,M1P 3Z1,Scarborough,43.7612,-79.2707,2
1590,1928000,4,2,272 Douglas Rd,L4E 5B9,Richmond Hill ,43.9394,-79.4349,2
1591,1599000,6,5,1 Fieldside St,L6B 0L9,Markham,43.9007,-79.2175,0
1593,1370000,4,4,73 Wallington Ave,M4C 4L2,East York ,43.6913,-79.3116,2
1594,1498000,5,4,47 Strader Ave,M6C 1X3,York,43.6915,-79.4307,1
1595,360900,1,1,250 Albert St 314,K1P 6A9,Ottawa,45.4225,-75.7026,3
1596,479990,2,1,55 Duke St 415,P7A 8C7,Thunder Bay ,48.4601,-89.2035,1
1597,499900,2,1,75 Eglinton Ave 501,M9R 3V7,Etobicoke,43.6898,-79.5582,3
1598,450000,3,2,335 Driftwood Ave 1201,M3N 2K7,North York ,43.7568,-79.521,3
1599,479000,1,1,700 Humberwood Blvd 1216,M9W 6T4,Etobicoke,43.7144,-79.5909,2
1600,668888,3,2,28 Tandridge Cres 833,M9W 2N8,Etobicoke,43.7144,-79.5909,3
1604,649990,7,3,64 Eagle Ave,N3S 2E3,Brant,43.1394,-80.2357,2
1605,2100000,4,3,875617 5th Line Ehs,L9V 1B6,Orangeville,43.9597,-80.1079,2
1606,489000,3,2,93 Inkerman St,N1H 5W4,Guelph,43.5588,-80.3004,1
1607,749900,3,3,8 Beachaven Dr,L2M 7C4,St. Catharines ,43.196,-79.2161,2
1608,1295000,7,3,11 Pinecrest Dr,N2A 1C1,Kitchener,43.4413,-80.4246,0
1610,599900,4,2,219 Emerson Ave,M6H 1N7,Toronto,43.6655,-79.4378,1
1612,985000,4,2,1988 Silverberry Cres,L5J 4B2,Mississauga,43.5102,-79.6296,3
1613,1499000,3,1,189 Weybourne Rd,L6K 2S2,Oakville,43.4396,-79.6878,2
1614,1299000,7,4,18 Schubert Cres,L6Y 1Z4,Brampton,43.6249,-79.7876,3
1615,1199000,4,3,267 Trowbridge Pl,L6L 6A4,Oakville,43.4032,-79.7186,3
1616,1099900,6,2,31 Watson Cres,L6W 2L4,Brampton,43.68,-79.7273,1
1617,2499000,5,4,51 Elma St,M8V 2X4,Toronto,43.6075,-79.5013,3
1618,1299000,4,3,461 Royal York Rd,M8Y 1B7,Etobicoke,43.6325,-79.4939,3
1619,6995000,13,14,207 Cowan Ave,M6K 1L7,Toronto,43.6383,-79.4301,0
1621,4850000,4,4,247 Woodland Dr,L6J 4V5,Oakville,43.4757,-79.6591,0
1622,1899000,4,4,392 Smith Ave,L7R 1J2,Burlington,43.375,-79.8434,0
1624,828000,3,2,2367 Lakeshore Dr,L0K 1B0,Lake Simcoe ,44.6233,-79.1235,0
